,name,category,lat,lng
0,Pastelariua Tintim,Bars,39.2086716,-8.6304073
1,"Martins & Torrão - Actividades Hoteleiras, Sociedade",Bars,39.2095566,-8.6274519
2,Divertimento Quanto Baste,Bars,39.208889,-8.6320896
3,Lago dos Golfinhos - Actividades Hoteleiras e de Restauração,Bars,39.2083969,-8.6284523
4,Discoteca Q.B.,Bars,39.2100067,-8.6327019
5,Francisco Fernandes Antunes,Bars,39.2044601,-8.6289291
6,"Maxidoce - Café, Bar",Bakeries,39.2048683,-8.6303196
7,Bar Poço Velho,Bars,39.2067566,-8.629571
8,Maria Helena Araújo Fiúza Aldeiinhas,Bars,39.12043,-8.6443195
9,António Maria da Silva,Bars,39.3525009,-8.7075996
10,José de Oliveira Santos,Bars,39.2110519,-8.6255102
11,Discoteca Nacional 3,Bars,39.2067947,-8.6295891
12,Edemprax - Serviços de Restauração e Bar,Bars,39.2066154,-8.6307764
13,Lopinveste - Imobiliária e Investimentos,Real Estate Agents,39.2087402,-8.6232595
14,Churrasqueira 1º de Janeiro,Bars,39.2110519,-8.6255102
15,"Etrl - Entretenimento, Restauração e Lazer",Bars,39.2130585,-8.6200705
16,Máximo Relevo,Bars,39.2005348,-8.6233406
17,Cervejaria e Marisqueira Sepulveda,Bars,39.2130013,-8.6212597
18,José Maria Terzan Pinol,Bars,39.2113647,-8.6261997
19,Bar Poço Velho,Bars,39.2019196,-8.625103
20,Carlos Manuel Lopes Garcia,Bars,39.2071724,-8.6160212
